"employee_id","pos_attitude_ai","freq_use_ai","pos_attitude_ai_label","freq_use_ai_label"
"408182",3,2,"Disagree","Rarely"
"852121",4,4,"Neutral","Fairly Often"
"927339",2,4,"Strongly Disagree","Fairly Often"
"666247",4,4,"Neutral","Fairly Often"
"982136",5,2,"Agree","Rarely"
"198919",6,6,"Strongly Agree","All the time"
"890185",6,6,"Strongly Agree","All the time"
"812525",4,1,"Neutral","Never"
"206400",4,5,"Neutral","Very Often"
"847154",4,6,"Neutral","All the time"
"248804",3,4,"Disagree","Fairly Often"
"577127",3,5,"Disagree","Very Often"
"786613",2,1,"Strongly Disagree","Never"
"361870",2,3,"Strongly Disagree","Occasionally"
"891020",6,5,"Strongly Agree","Very Often"
"396506",1,2,"Completely Disagree","Rarely"
"476040",3,2,"Disagree","Rarely"
"583385",5,4,"Agree","Fairly Often"
"918810",5,5,"Agree","Very Often"
"690354",5,5,"Agree","Very Often"
"463836",4,1,"Neutral","Never"
"842020",5,4,"Agree","Fairly Often"
"349814",1,2,"Completely Disagree","Rarely"
"615834",3,4,"Disagree","Fairly Often"
"573607",5,4,"Agree","Fairly Often"
"291502",1,2,"Completely Disagree","Rarely"
"212093",5,5,"Agree","Very Often"
"501430",5,3,"Agree","Occasionally"
"308108",3,4,"Disagree","Fairly Often"
"984685",5,4,"Agree","Fairly Often"
"966956",1,2,"Completely Disagree","Rarely"
"678554",5,4,"Agree","Fairly Often"
"196731",6,5,"Strongly Agree","Very Often"
"427853",4,4,"Neutral","Fairly Often"
"758693",3,3,"Disagree","Occasionally"
"558918",3,5,"Disagree","Very Often"
"513532",7,6,"Completely Agree","All the time"
"930291",1,2,"Completely Disagree","Rarely"
"772003",6,5,"Strongly Agree","Very Often"
"669086",3,5,"Disagree","Very Often"
"233000",2,1,"Strongly Disagree","Never"
"868505",4,2,"Neutral","Rarely"
"198183",2,3,"Strongly Disagree","Occasionally"
"986970",4,4,"Neutral","Fairly Often"
"759538",4,5,"Neutral","Very Often"
"802587",4,3,"Neutral","Occasionally"
"587633",7,6,"Completely Agree","All the time"
"815056",2,4,"Strongly Disagree","Fairly Often"
"402429",5,6,"Agree","All the time"
"945189",1,3,"Completely Disagree","Occasionally"
"915422",5,5,"Agree","Very Often"
"143010",4,4,"Neutral","Fairly Often"
"933930",7,6,"Completely Agree","All the time"
"275297",4,4,"Neutral","Fairly Often"
"128601",3,6,"Disagree","All the time"
"852533",3,6,"Disagree","All the time"
"560549",6,6,"Strongly Agree","All the time"
"600804",3,2,"Disagree","Rarely"
"887513",3,2,"Disagree","Rarely"
"995027",2,3,"Strongly Disagree","Occasionally"
"739498",7,5,"Completely Agree","Very Often"
"787252",7,6,"Completely Agree","All the time"
"926823",4,5,"Neutral","Very Often"
"566398",4,3,"Neutral","Occasionally"
"352012",4,4,"Neutral","Fairly Often"
"933696",3,4,"Disagree","Fairly Often"
"229469",5,2,"Agree","Rarely"
"122551",7,6,"Completely Agree","All the time"
"642866",3,1,"Disagree","Never"
"670559",2,1,"Strongly Disagree","Never"
"974230",3,4,"Disagree","Fairly Often"
"285870",6,5,"Strongly Agree","Very Often"
"850718",2,1,"Strongly Disagree","Never"
"309442",5,4,"Agree","Fairly Often"
"564883",3,3,"Disagree","Occasionally"
"345245",6,2,"Strongly Agree","Rarely"
"657191",5,4,"Agree","Fairly Often"
"377840",6,5,"Strongly Agree","Very Often"
"759662",4,4,"Neutral","Fairly Often"
"304248",3,6,"Disagree","All the time"
"419495",4,5,"Neutral","Very Often"
"426998",5,3,"Agree","Occasionally"
"674727",5,1,"Agree","Never"
"853172",4,2,"Neutral","Rarely"
"620162",4,6,"Neutral","All the time"
"874752",2,3,"Strongly Disagree","Occasionally"
"946601",3,1,"Disagree","Never"
"961928",6,4,"Strongly Agree","Fairly Often"
"447665",3,2,"Disagree","Rarely"
"617454",3,4,"Disagree","Fairly Often"
"469757",2,5,"Strongly Disagree","Very Often"
"258408",4,4,"Neutral","Fairly Often"
"795299",4,2,"Neutral","Rarely"
"435914",4,1,"Neutral","Never"
"940272",6,6,"Strongly Agree","All the time"
"136042",4,4,"Neutral","Fairly Often"
"867357",7,6,"Completely Agree","All the time"
"462884",4,3,"Neutral","Occasionally"
"524524",3,1,"Disagree","Never"
"166021",2,1,"Strongly Disagree","Never"
"404089",5,5,"Agree","Very Often"
"762910",3,1,"Disagree","Never"
"376536",3,1,"Disagree","Never"
"568534",4,6,"Neutral","All the time"
"569936",2,3,"Strongly Disagree","Occasionally"
"749992",2,1,"Strongly Disagree","Never"
"363965",5,5,"Agree","Very Often"
"978861",3,2,"Disagree","Rarely"
"572265",4,3,"Neutral","Occasionally"
"808938",6,5,"Strongly Agree","Very Often"
"259489",1,1,"Completely Disagree","Never"
"796038",4,5,"Neutral","Very Often"
"677557",4,4,"Neutral","Fairly Often"
"824485",5,4,"Agree","Fairly Often"
"979169",5,6,"Agree","All the time"
"648051",7,6,"Completely Agree","All the time"
"514603",3,1,"Disagree","Never"
"998736",3,1,"Disagree","Never"
"679484",4,4,"Neutral","Fairly Often"
"503456",1,4,"Completely Disagree","Fairly Often"
"732659",6,5,"Strongly Agree","Very Often"
"139449",4,1,"Neutral","Never"
"465769",1,1,"Completely Disagree","Never"
"236272",7,5,"Completely Agree","Very Often"
"280112",6,5,"Strongly Agree","Very Often"
"142615",4,5,"Neutral","Very Often"
"430682",6,4,"Strongly Agree","Fairly Often"
"836512",6,4,"Strongly Agree","Fairly Often"
"935575",2,4,"Strongly Disagree","Fairly Often"
"275874",5,1,"Agree","Never"
"713265",2,3,"Strongly Disagree","Occasionally"
"814361",1,2,"Completely Disagree","Rarely"
"863398",7,6,"Completely Agree","All the time"
"853830",4,1,"Neutral","Never"
"385616",6,5,"Strongly Agree","Very Often"
"637763",5,3,"Agree","Occasionally"
"445556",5,4,"Agree","Fairly Often"
"707300",1,2,"Completely Disagree","Rarely"
"936949",3,1,"Disagree","Never"
"472687",3,3,"Disagree","Occasionally"
"636213",6,1,"Strongly Agree","Never"
"113059",1,1,"Completely Disagree","Never"
"476920",2,4,"Strongly Disagree","Fairly Often"
"889618",6,2,"Strongly Agree","Rarely"
"443928",4,1,"Neutral","Never"
"206455",1,2,"Completely Disagree","Rarely"
"159926",3,1,"Disagree","Never"
"267141",6,2,"Strongly Agree","Rarely"
"996744",5,4,"Agree","Fairly Often"
"997808",5,5,"Agree","Very Often"
"808379",4,5,"Neutral","Very Often"
"679345",5,3,"Agree","Occasionally"
"412692",4,6,"Neutral","All the time"
"562403",1,1,"Completely Disagree","Never"
"882499",6,6,"Strongly Agree","All the time"
"157864",6,6,"Strongly Agree","All the time"
"313178",3,1,"Disagree","Never"
"540640",5,4,"Agree","Fairly Often"
"798523",4,3,"Neutral","Occasionally"
"118469",3,3,"Disagree","Occasionally"
"639705",5,6,"Agree","All the time"
"358277",7,4,"Completely Agree","Fairly Often"
"382604",4,4,"Neutral","Fairly Often"
"126205",4,3,"Neutral","Occasionally"
"111020",4,2,"Neutral","Rarely"
"759658",3,2,"Disagree","Rarely"
"445993",5,3,"Agree","Occasionally"
"115807",7,5,"Completely Agree","Very Often"
"612804",5,6,"Agree","All the time"
"762498",5,5,"Agree","Very Often"
"452758",5,5,"Agree","Very Often"
"267362",6,4,"Strongly Agree","Fairly Often"
"996959",4,4,"Neutral","Fairly Often"
"927787",6,6,"Strongly Agree","All the time"
"658601",5,3,"Agree","Occasionally"
"505048",4,2,"Neutral","Rarely"
"426063",4,2,"Neutral","Rarely"
"145334",5,3,"Agree","Occasionally"
"248522",6,6,"Strongly Agree","All the time"
"931621",3,1,"Disagree","Never"
"430372",1,3,"Completely Disagree","Occasionally"
"145642",1,3,"Completely Disagree","Occasionally"
"725983",5,2,"Agree","Rarely"
"948690",6,6,"Strongly Agree","All the time"
"162575",3,1,"Disagree","Never"
"388032",6,3,"Strongly Agree","Occasionally"
"830848",4,4,"Neutral","Fairly Often"
"122377",7,6,"Completely Agree","All the time"
"548505",3,1,"Disagree","Never"
"890492",2,1,"Strongly Disagree","Never"
"562086",5,5,"Agree","Very Often"
"831443",4,3,"Neutral","Occasionally"
"158314",4,4,"Neutral","Fairly Often"
"416421",1,2,"Completely Disagree","Rarely"
"180977",4,2,"Neutral","Rarely"
"976390",4,6,"Neutral","All the time"
"652563",5,6,"Agree","All the time"
"295470",3,2,"Disagree","Rarely"
"207087",5,6,"Agree","All the time"
"604337",7,5,"Completely Agree","Very Often"
"897672",3,4,"Disagree","Fairly Often"
"110316",4,6,"Neutral","All the time"
"185327",7,6,"Completely Agree","All the time"
"927242",4,6,"Neutral","All the time"
"640806",6,4,"Strongly Agree","Fairly Often"
"599964",3,2,"Disagree","Rarely"
"325823",3,5,"Disagree","Very Often"
"519593",5,3,"Agree","Occasionally"
"127339",2,3,"Strongly Disagree","Occasionally"
"676837",3,2,"Disagree","Rarely"
"906843",4,4,"Neutral","Fairly Often"
"571372",6,6,"Strongly Agree","All the time"
"725044",5,2,"Agree","Rarely"
"470882",3,1,"Disagree","Never"
"132057",1,1,"Completely Disagree","Never"
"421294",6,4,"Strongly Agree","Fairly Often"
"983696",1,1,"Completely Disagree","Never"
"176780",7,6,"Completely Agree","All the time"
"104024",3,3,"Disagree","Occasionally"
"385358",5,3,"Agree","Occasionally"
"859519",6,6,"Strongly Agree","All the time"
"683207",4,4,"Neutral","Fairly Often"
"917524",4,5,"Neutral","Very Often"
"452284",5,5,"Agree","Very Often"
"831313",3,4,"Disagree","Fairly Often"
"782869",3,4,"Disagree","Fairly Often"
"266375",2,5,"Strongly Disagree","Very Often"
"275094",4,4,"Neutral","Fairly Often"
"174498",5,5,"Agree","Very Often"
"702650",5,5,"Agree","Very Often"
"318688",3,4,"Disagree","Fairly Often"
"913836",4,4,"Neutral","Fairly Often"
"958720",4,5,"Neutral","Very Often"
"257170",5,3,"Agree","Occasionally"
"788944",2,1,"Strongly Disagree","Never"
"199441",2,5,"Strongly Disagree","Very Often"
"886452",6,6,"Strongly Agree","All the time"
"392958",1,3,"Completely Disagree","Occasionally"
"608685",1,3,"Completely Disagree","Occasionally"
"587749",7,5,"Completely Agree","Very Often"
"164407",4,4,"Neutral","Fairly Often"
"754887",3,3,"Disagree","Occasionally"
"584654",5,3,"Agree","Occasionally"
"796901",6,6,"Strongly Agree","All the time"
"717168",7,6,"Completely Agree","All the time"
"543005",2,1,"Strongly Disagree","Never"
"668631",3,2,"Disagree","Rarely"
"347893",2,1,"Strongly Disagree","Never"
"790014",1,1,"Completely Disagree","Never"
"263221",2,1,"Strongly Disagree","Never"
"925123",4,1,"Neutral","Never"
"788365",6,6,"Strongly Agree","All the time"
"880769",5,6,"Agree","All the time"
"703184",4,2,"Neutral","Rarely"
"849253",2,1,"Strongly Disagree","Never"
"390728",4,3,"Neutral","Occasionally"
"760351",2,4,"Strongly Disagree","Fairly Often"
"258727",4,6,"Neutral","All the time"
"469075",3,2,"Disagree","Rarely"
"107490",6,3,"Strongly Agree","Occasionally"
"654954",4,4,"Neutral","Fairly Often"
"825737",5,6,"Agree","All the time"
"724292",5,3,"Agree","Occasionally"
"129985",4,2,"Neutral","Rarely"
"573420",4,4,"Neutral","Fairly Often"
"863995",4,3,"Neutral","Occasionally"
"852844",4,3,"Neutral","Occasionally"
"514335",3,3,"Disagree","Occasionally"
"290670",7,5,"Completely Agree","Very Often"
"284938",4,6,"Neutral","All the time"
"898889",5,2,"Agree","Rarely"
"487514",5,5,"Agree","Very Often"
"350385",3,2,"Disagree","Rarely"
"668928",2,1,"Strongly Disagree","Never"
"123902",6,5,"Strongly Agree","Very Often"
"685926",6,5,"Strongly Agree","Very Often"
"277605",5,5,"Agree","Very Often"
"874799",4,4,"Neutral","Fairly Often"
"993489",5,5,"Agree","Very Often"
"245633",5,5,"Agree","Very Often"
"409291",3,4,"Disagree","Fairly Often"
"931845",2,5,"Strongly Disagree","Very Often"
"827766",2,6,"Strongly Disagree","All the time"
"636754",2,2,"Strongly Disagree","Rarely"
"491947",4,4,"Neutral","Fairly Often"
"965198",4,6,"Neutral","All the time"
"244477",7,6,"Completely Agree","All the time"
"837445",6,5,"Strongly Agree","Very Often"
"716468",3,5,"Disagree","Very Often"
"459194",6,3,"Strongly Agree","Occasionally"
"753517",7,6,"Completely Agree","All the time"
"574027",5,5,"Agree","Very Often"
"110133",7,5,"Completely Agree","Very Often"
"708131",7,6,"Completely Agree","All the time"
"961088",4,4,"Neutral","Fairly Often"
"401228",1,2,"Completely Disagree","Rarely"
"919077",4,2,"Neutral","Rarely"
"118903",5,5,"Agree","Very Often"
"133539",3,5,"Disagree","Very Often"
"890553",5,5,"Agree","Very Often"
"493769",7,5,"Completely Agree","Very Often"
"341618",4,5,"Neutral","Very Often"
"983967",6,4,"Strongly Agree","Fairly Often"
"473601",5,4,"Agree","Fairly Often"
"655280",6,5,"Strongly Agree","Very Often"
"936216",2,2,"Strongly Disagree","Rarely"
"785096",2,6,"Strongly Disagree","All the time"
"616512",6,6,"Strongly Agree","All the time"
"991298",3,6,"Disagree","All the time"
"223786",3,5,"Disagree","Very Often"
"577210",5,2,"Agree","Rarely"
"297952",4,5,"Neutral","Very Often"
"704460",5,6,"Agree","All the time"
"967915",4,6,"Neutral","All the time"
"217669",1,4,"Completely Disagree","Fairly Often"
"367616",3,4,"Disagree","Fairly Often"
"451193",3,1,"Disagree","Never"
"321201",4,2,"Neutral","Rarely"
"567718",4,3,"Neutral","Occasionally"
"408902",2,1,"Strongly Disagree","Never"
"689630",6,4,"Strongly Agree","Fairly Often"
"977776",3,4,"Disagree","Fairly Often"
"652665",3,1,"Disagree","Never"
"253485",2,3,"Strongly Disagree","Occasionally"
"237058",5,1,"Agree","Never"
"969276",4,1,"Neutral","Never"
"131826",4,3,"Neutral","Occasionally"
"754192",3,3,"Disagree","Occasionally"
"912232",5,6,"Agree","All the time"
"429899",5,4,"Agree","Fairly Often"
"297175",1,1,"Completely Disagree","Never"
"529596",4,3,"Neutral","Occasionally"
"131919",6,5,"Strongly Agree","Very Often"
"511467",5,6,"Agree","All the time"
"453983",4,4,"Neutral","Fairly Often"
"109349",5,3,"Agree","Occasionally"
"650683",4,5,"Neutral","Very Often"
"316160",5,6,"Agree","All the time"
"176369",2,1,"Strongly Disagree","Never"
"832226",3,4,"Disagree","Fairly Often"
"465596",2,3,"Strongly Disagree","Occasionally"
"927533",4,4,"Neutral","Fairly Often"
"395322",5,1,"Agree","Never"
"853215",6,5,"Strongly Agree","Very Often"
"239751",2,1,"Strongly Disagree","Never"
"547094",4,3,"Neutral","Occasionally"
"567905",6,5,"Strongly Agree","Very Often"
"819584",6,4,"Strongly Agree","Fairly Often"
"833949",5,3,"Agree","Occasionally"
"837427",2,2,"Strongly Disagree","Rarely"
"256481",3,1,"Disagree","Never"
"775468",5,6,"Agree","All the time"
"879996",3,3,"Disagree","Occasionally"
"246418",4,5,"Neutral","Very Often"
"864122",4,2,"Neutral","Rarely"
"799321",4,4,"Neutral","Fairly Often"
"633758",4,2,"Neutral","Rarely"
"913623",2,1,"Strongly Disagree","Never"
"138200",3,2,"Disagree","Rarely"
"581816",4,3,"Neutral","Occasionally"
"776073",5,2,"Agree","Rarely"
"312659",4,4,"Neutral","Fairly Often"
"262982",2,3,"Strongly Disagree","Occasionally"
"278837",2,2,"Strongly Disagree","Rarely"
"679168",6,3,"Strongly Agree","Occasionally"
"794465",7,6,"Completely Agree","All the time"
"593512",2,1,"Strongly Disagree","Never"
"129729",2,3,"Strongly Disagree","Occasionally"
"212695",3,3,"Disagree","Occasionally"
"445619",5,4,"Agree","Fairly Often"
"725800",4,1,"Neutral","Never"
"516880",6,6,"Strongly Agree","All the time"
"318496",5,5,"Agree","Very Often"
"716291",3,2,"Disagree","Rarely"
"395374",6,4,"Strongly Agree","Fairly Often"
"233411",5,6,"Agree","All the time"
"101741",4,2,"Neutral","Rarely"
"582194",4,4,"Neutral","Fairly Often"
"620202",3,3,"Disagree","Occasionally"
"792920",5,5,"Agree","Very Often"
"475635",3,1,"Disagree","Never"
