"employee_id","tech_anx","beh_intent_ai","freq_use_ai","tech_anx_label","beh_intent_ai_label","freq_use_ai_label"
"938475",3,2,1,"Disagree","Strongly Disagree","Never"
"437778",2,5,5,"Strongly Disagree","Agree","Very Often"
"940253",1,5,5,"Completely Disagree","Agree","Very Often"
"768505",3,4,3,"Disagree","Neutral","Occasionally"
"427615",3,5,5,"Disagree","Agree","Very Often"
"946199",3,4,5,"Disagree","Neutral","Very Often"
"684688",1,5,5,"Completely Disagree","Agree","Very Often"
"293116",3,3,3,"Disagree","Disagree","Occasionally"
"983656",3,3,2,"Disagree","Disagree","Rarely"
"739645",1,3,4,"Completely Disagree","Disagree","Fairly Often"
"321487",3,3,5,"Disagree","Disagree","Very Often"
"975639",4,5,4,"Neutral","Agree","Fairly Often"
"973552",3,7,4,"Disagree","Completely Agree","Fairly Often"
"665625",2,6,6,"Strongly Disagree","Strongly Agree","All the time"
"418545",1,5,4,"Completely Disagree","Agree","Fairly Often"
"685145",3,6,5,"Disagree","Strongly Agree","Very Often"
"112063",3,1,2,"Disagree","Completely Disagree","Rarely"
"724408",2,7,5,"Strongly Disagree","Completely Agree","Very Often"
"494609",1,5,5,"Completely Disagree","Agree","Very Often"
"117973",1,6,5,"Completely Disagree","Strongly Agree","Very Often"
"456278",4,7,6,"Neutral","Completely Agree","All the time"
"649050",1,7,5,"Completely Disagree","Completely Agree","Very Often"
"565907",3,2,1,"Disagree","Strongly Disagree","Never"
"728005",3,6,5,"Disagree","Strongly Agree","Very Often"
"767474",3,5,3,"Disagree","Agree","Occasionally"
"322076",3,7,5,"Disagree","Completely Agree","Very Often"
"283860",4,5,4,"Neutral","Agree","Fairly Often"
"739798",4,1,1,"Neutral","Completely Disagree","Never"
"286380",3,4,4,"Disagree","Neutral","Fairly Often"
"598279",3,2,4,"Disagree","Strongly Disagree","Fairly Often"
"224180",3,5,3,"Disagree","Agree","Occasionally"
"139103",2,4,4,"Strongly Disagree","Neutral","Fairly Often"
"959709",5,4,4,"Agree","Neutral","Fairly Often"
"972529",4,5,5,"Neutral","Agree","Very Often"
"758551",3,4,4,"Disagree","Neutral","Fairly Often"
"949117",3,2,1,"Disagree","Strongly Disagree","Never"
"182930",3,7,6,"Disagree","Completely Agree","All the time"
"871929",6,4,4,"Strongly Agree","Neutral","Fairly Often"
"677386",1,4,3,"Completely Disagree","Neutral","Occasionally"
"543186",1,5,4,"Completely Disagree","Agree","Fairly Often"
"518529",4,3,3,"Neutral","Disagree","Occasionally"
"192691",4,5,5,"Neutral","Agree","Very Often"
"936657",3,5,5,"Disagree","Agree","Very Often"
"812020",3,7,5,"Disagree","Completely Agree","Very Often"
"697034",3,3,3,"Disagree","Disagree","Occasionally"
"813773",1,5,4,"Completely Disagree","Agree","Fairly Often"
"735619",4,4,3,"Neutral","Neutral","Occasionally"
"704795",1,7,4,"Completely Disagree","Completely Agree","Fairly Often"
"477469",3,5,4,"Disagree","Agree","Fairly Often"
"504158",3,6,5,"Disagree","Strongly Agree","Very Often"
"612061",2,5,4,"Strongly Disagree","Agree","Fairly Often"
"205819",4,4,4,"Neutral","Neutral","Fairly Often"
"447032",3,5,4,"Disagree","Agree","Fairly Often"
"998778",3,4,3,"Disagree","Neutral","Occasionally"
"970511",3,5,6,"Disagree","Agree","All the time"
"990423",3,6,5,"Disagree","Strongly Agree","Very Often"
"443458",2,5,4,"Strongly Disagree","Agree","Fairly Often"
"547869",4,3,1,"Neutral","Disagree","Never"
"704761",2,5,6,"Strongly Disagree","Agree","All the time"
"620306",3,4,4,"Disagree","Neutral","Fairly Often"
"177431",3,2,1,"Disagree","Strongly Disagree","Never"
"684512",2,5,4,"Strongly Disagree","Agree","Fairly Often"
"466805",1,7,5,"Completely Disagree","Completely Agree","Very Often"
"855260",5,1,1,"Agree","Completely Disagree","Never"
"531797",4,3,2,"Neutral","Disagree","Rarely"
"456584",3,5,4,"Disagree","Agree","Fairly Often"
"885602",3,6,5,"Disagree","Strongly Agree","Very Often"
"128580",2,5,2,"Strongly Disagree","Agree","Rarely"
"180223",7,5,3,"Completely Agree","Agree","Occasionally"
"110736",3,4,1,"Disagree","Neutral","Never"
"792535",3,4,4,"Disagree","Neutral","Fairly Often"
"976523",4,5,4,"Neutral","Agree","Fairly Often"
"557676",2,4,3,"Strongly Disagree","Neutral","Occasionally"
"484004",3,4,4,"Disagree","Neutral","Fairly Often"
"165890",1,5,4,"Completely Disagree","Agree","Fairly Often"
"607819",3,2,1,"Disagree","Strongly Disagree","Never"
"186172",3,4,1,"Disagree","Neutral","Never"
"222544",2,5,5,"Strongly Disagree","Agree","Very Often"
"857335",2,4,3,"Strongly Disagree","Neutral","Occasionally"
"877882",3,5,4,"Disagree","Agree","Fairly Often"
"239815",7,1,2,"Completely Agree","Completely Disagree","Rarely"
"621847",3,7,5,"Disagree","Completely Agree","Very Often"
"140629",3,5,4,"Disagree","Agree","Fairly Often"
"476049",3,6,5,"Disagree","Strongly Agree","Very Often"
"945571",1,4,3,"Completely Disagree","Neutral","Occasionally"
"437179",3,5,4,"Disagree","Agree","Fairly Often"
"868144",6,4,3,"Strongly Agree","Neutral","Occasionally"
"686872",2,6,6,"Strongly Disagree","Strongly Agree","All the time"
"817688",2,5,6,"Strongly Disagree","Agree","All the time"
"352369",7,4,3,"Completely Agree","Neutral","Occasionally"
"998170",3,4,4,"Disagree","Neutral","Fairly Often"
"824839",3,2,3,"Disagree","Strongly Disagree","Occasionally"
"473081",3,4,5,"Disagree","Neutral","Very Often"
"277890",3,6,6,"Disagree","Strongly Agree","All the time"
"596142",4,4,5,"Neutral","Neutral","Very Often"
"483770",1,5,4,"Completely Disagree","Agree","Fairly Often"
"582175",4,7,6,"Neutral","Completely Agree","All the time"
"873931",3,5,2,"Disagree","Agree","Rarely"
"598109",2,5,4,"Strongly Disagree","Agree","Fairly Often"
"107496",1,6,5,"Completely Disagree","Strongly Agree","Very Often"
"929496",3,2,1,"Disagree","Strongly Disagree","Never"
"788712",2,5,4,"Strongly Disagree","Agree","Fairly Often"
"827440",5,1,1,"Agree","Completely Disagree","Never"
"518799",3,4,1,"Disagree","Neutral","Never"
"412138",3,5,3,"Disagree","Agree","Occasionally"
"115170",3,4,4,"Disagree","Neutral","Fairly Often"
"430389",3,3,1,"Disagree","Disagree","Never"
"330003",2,5,3,"Strongly Disagree","Agree","Occasionally"
"406909",3,5,4,"Disagree","Agree","Fairly Often"
"641701",3,6,6,"Disagree","Strongly Agree","All the time"
"592739",4,5,5,"Neutral","Agree","Very Often"
"741185",4,2,4,"Neutral","Strongly Disagree","Fairly Often"
"596225",3,6,5,"Disagree","Strongly Agree","Very Often"
"485017",2,6,4,"Strongly Disagree","Strongly Agree","Fairly Often"
"418415",2,4,4,"Strongly Disagree","Neutral","Fairly Often"
"591267",1,5,4,"Completely Disagree","Agree","Fairly Often"
"416199",4,5,3,"Neutral","Agree","Occasionally"
"903567",5,4,4,"Agree","Neutral","Fairly Often"
"474413",3,4,4,"Disagree","Neutral","Fairly Often"
"695336",1,5,3,"Completely Disagree","Agree","Occasionally"
"605799",3,6,3,"Disagree","Strongly Agree","Occasionally"
"616999",1,5,2,"Completely Disagree","Agree","Rarely"
"828052",3,5,5,"Disagree","Agree","Very Often"
"427860",6,6,5,"Strongly Agree","Strongly Agree","Very Often"
"118068",4,1,2,"Neutral","Completely Disagree","Rarely"
"961978",3,5,2,"Disagree","Agree","Rarely"
"789079",1,5,5,"Completely Disagree","Agree","Very Often"
"562486",1,7,6,"Completely Disagree","Completely Agree","All the time"
"401534",4,5,4,"Neutral","Agree","Fairly Often"
"812953",1,5,5,"Completely Disagree","Agree","Very Often"
"548457",1,7,5,"Completely Disagree","Completely Agree","Very Often"
"721850",2,1,3,"Strongly Disagree","Completely Disagree","Occasionally"
"914253",3,5,5,"Disagree","Agree","Very Often"
"206115",4,6,5,"Neutral","Strongly Agree","Very Often"
"966628",4,7,5,"Neutral","Completely Agree","Very Often"
"464017",2,7,5,"Strongly Disagree","Completely Agree","Very Often"
"339561",3,4,2,"Disagree","Neutral","Rarely"
"677209",2,5,4,"Strongly Disagree","Agree","Fairly Often"
"989657",6,1,1,"Strongly Agree","Completely Disagree","Never"
"862832",1,5,4,"Completely Disagree","Agree","Fairly Often"
"147361",3,5,5,"Disagree","Agree","Very Often"
"198686",1,6,5,"Completely Disagree","Strongly Agree","Very Often"
"705007",2,5,1,"Strongly Disagree","Agree","Never"
"380307",2,3,5,"Strongly Disagree","Disagree","Very Often"
"232890",3,5,5,"Disagree","Agree","Very Often"
"291686",3,4,3,"Disagree","Neutral","Occasionally"
"158407",5,3,4,"Agree","Disagree","Fairly Often"
"190183",3,3,4,"Disagree","Disagree","Fairly Often"
"213958",3,5,4,"Disagree","Agree","Fairly Often"
"451225",1,5,2,"Completely Disagree","Agree","Rarely"
"388887",3,2,2,"Disagree","Strongly Disagree","Rarely"
"808606",3,5,5,"Disagree","Agree","Very Often"
"843680",1,2,4,"Completely Disagree","Strongly Disagree","Fairly Often"
"900520",3,6,5,"Disagree","Strongly Agree","Very Often"
"955080",3,6,5,"Disagree","Strongly Agree","Very Often"
"415098",2,6,5,"Strongly Disagree","Strongly Agree","Very Often"
"180633",4,2,1,"Neutral","Strongly Disagree","Never"
"790946",1,7,4,"Completely Disagree","Completely Agree","Fairly Often"
"891287",3,7,5,"Disagree","Completely Agree","Very Often"
"918229",3,5,4,"Disagree","Agree","Fairly Often"
"786923",3,5,4,"Disagree","Agree","Fairly Often"
"362850",3,7,5,"Disagree","Completely Agree","Very Often"
"322240",3,4,2,"Disagree","Neutral","Rarely"
"400736",3,7,5,"Disagree","Completely Agree","Very Often"
"486870",5,1,1,"Agree","Completely Disagree","Never"
"556775",1,6,4,"Completely Disagree","Strongly Agree","Fairly Often"
"973460",4,7,5,"Neutral","Completely Agree","Very Often"
"576713",2,4,4,"Strongly Disagree","Neutral","Fairly Often"
"395908",1,5,2,"Completely Disagree","Agree","Rarely"
"295057",2,5,5,"Strongly Disagree","Agree","Very Often"
"521559",3,5,5,"Disagree","Agree","Very Often"
"792053",3,7,6,"Disagree","Completely Agree","All the time"
"433291",1,7,6,"Completely Disagree","Completely Agree","All the time"
"904449",5,2,2,"Agree","Strongly Disagree","Rarely"
"620821",3,4,2,"Disagree","Neutral","Rarely"
"436014",3,4,5,"Disagree","Neutral","Very Often"
"894559",3,2,1,"Disagree","Strongly Disagree","Never"
"488129",4,4,5,"Neutral","Neutral","Very Often"
"244698",3,6,3,"Disagree","Strongly Agree","Occasionally"
"440911",2,6,3,"Strongly Disagree","Strongly Agree","Occasionally"
"644844",3,1,4,"Disagree","Completely Disagree","Fairly Often"
"539619",7,4,3,"Completely Agree","Neutral","Occasionally"
"475654",2,4,1,"Strongly Disagree","Neutral","Never"
"757185",3,4,5,"Disagree","Neutral","Very Often"
"443738",2,5,4,"Strongly Disagree","Agree","Fairly Often"
"257287",2,6,4,"Strongly Disagree","Strongly Agree","Fairly Often"
"929330",3,4,3,"Disagree","Neutral","Occasionally"
"494921",3,5,5,"Disagree","Agree","Very Often"
"721867",1,6,5,"Completely Disagree","Strongly Agree","Very Often"
"223354",3,1,3,"Disagree","Completely Disagree","Occasionally"
"460875",1,7,6,"Completely Disagree","Completely Agree","All the time"
"771160",5,5,3,"Agree","Agree","Occasionally"
"135306",4,4,5,"Neutral","Neutral","Very Often"
"349321",4,1,1,"Neutral","Completely Disagree","Never"
"374783",2,5,5,"Strongly Disagree","Agree","Very Often"
"975619",3,2,2,"Disagree","Strongly Disagree","Rarely"
"562094",1,5,5,"Completely Disagree","Agree","Very Often"
"440290",6,4,5,"Strongly Agree","Neutral","Very Often"
"765749",2,5,3,"Strongly Disagree","Agree","Occasionally"
"993191",3,5,5,"Disagree","Agree","Very Often"
"930344",3,2,1,"Disagree","Strongly Disagree","Never"
"733891",3,4,5,"Disagree","Neutral","Very Often"
"845361",2,1,2,"Strongly Disagree","Completely Disagree","Rarely"
"844507",3,3,2,"Disagree","Disagree","Rarely"
"159594",4,5,5,"Neutral","Agree","Very Often"
"948142",5,3,4,"Agree","Disagree","Fairly Often"
"714264",3,3,5,"Disagree","Disagree","Very Often"
"803415",7,3,3,"Completely Agree","Disagree","Occasionally"
"775710",3,4,3,"Disagree","Neutral","Occasionally"
"252481",3,4,3,"Disagree","Neutral","Occasionally"
"329098",7,2,4,"Completely Agree","Strongly Disagree","Fairly Often"
"618028",6,5,5,"Strongly Agree","Agree","Very Often"
"450004",1,6,4,"Completely Disagree","Strongly Agree","Fairly Often"
"521156",2,6,4,"Strongly Disagree","Strongly Agree","Fairly Often"
"111378",4,5,3,"Neutral","Agree","Occasionally"
"767104",4,5,3,"Neutral","Agree","Occasionally"
"492699",3,5,4,"Disagree","Agree","Fairly Often"
"596181",3,4,6,"Disagree","Neutral","All the time"
"595389",5,2,4,"Agree","Strongly Disagree","Fairly Often"
"370885",3,2,2,"Disagree","Strongly Disagree","Rarely"
"593268",3,4,1,"Disagree","Neutral","Never"
"540850",4,3,4,"Neutral","Disagree","Fairly Often"
"955900",5,4,5,"Agree","Neutral","Very Often"
"859971",3,5,4,"Disagree","Agree","Fairly Often"
"454531",3,4,4,"Disagree","Neutral","Fairly Often"
"479954",3,3,4,"Disagree","Disagree","Fairly Often"
"991875",3,5,3,"Disagree","Agree","Occasionally"
"631932",4,4,4,"Neutral","Neutral","Fairly Often"
"634567",1,7,5,"Completely Disagree","Completely Agree","Very Often"
"693416",1,7,6,"Completely Disagree","Completely Agree","All the time"
"141762",3,4,4,"Disagree","Neutral","Fairly Often"
"224831",3,4,4,"Disagree","Neutral","Fairly Often"
"568119",3,3,5,"Disagree","Disagree","Very Often"
"865698",3,7,5,"Disagree","Completely Agree","Very Often"
"289750",3,4,4,"Disagree","Neutral","Fairly Often"
"196349",3,5,5,"Disagree","Agree","Very Often"
"874264",5,6,4,"Agree","Strongly Agree","Fairly Often"
"712688",1,7,5,"Completely Disagree","Completely Agree","Very Often"
"544975",3,7,6,"Disagree","Completely Agree","All the time"
"996689",3,5,4,"Disagree","Agree","Fairly Often"
"654600",1,5,5,"Completely Disagree","Agree","Very Often"
"866851",2,4,2,"Strongly Disagree","Neutral","Rarely"
"148318",3,5,4,"Disagree","Agree","Fairly Often"
"655941",1,6,4,"Completely Disagree","Strongly Agree","Fairly Often"
"913383",6,4,4,"Strongly Agree","Neutral","Fairly Often"
"814859",3,5,4,"Disagree","Agree","Fairly Often"
"968972",1,7,5,"Completely Disagree","Completely Agree","Very Often"
"970086",3,5,3,"Disagree","Agree","Occasionally"
"572900",5,1,1,"Agree","Completely Disagree","Never"
"453003",1,5,5,"Completely Disagree","Agree","Very Often"
"801482",4,6,5,"Neutral","Strongly Agree","Very Often"
"923983",1,5,4,"Completely Disagree","Agree","Fairly Often"
"400484",6,1,2,"Strongly Agree","Completely Disagree","Rarely"
"797650",3,6,4,"Disagree","Strongly Agree","Fairly Often"
"417292",3,2,1,"Disagree","Strongly Disagree","Never"
"358610",3,5,5,"Disagree","Agree","Very Often"
"498503",5,4,3,"Agree","Neutral","Occasionally"
"974599",2,5,4,"Strongly Disagree","Agree","Fairly Often"
"818140",6,2,2,"Strongly Agree","Strongly Disagree","Rarely"
"389575",4,4,3,"Neutral","Neutral","Occasionally"
"916382",3,5,4,"Disagree","Agree","Fairly Often"
"232645",2,4,4,"Strongly Disagree","Neutral","Fairly Often"
"498116",4,2,2,"Neutral","Strongly Disagree","Rarely"
"234607",4,3,5,"Neutral","Disagree","Very Often"
"754464",3,7,6,"Disagree","Completely Agree","All the time"
"575295",1,5,5,"Completely Disagree","Agree","Very Often"
"768545",3,4,4,"Disagree","Neutral","Fairly Often"
"642458",3,6,5,"Disagree","Strongly Agree","Very Often"
"461741",3,6,5,"Disagree","Strongly Agree","Very Often"
"580584",3,7,5,"Disagree","Completely Agree","Very Often"
"822896",6,3,4,"Strongly Agree","Disagree","Fairly Often"
"329618",1,6,5,"Completely Disagree","Strongly Agree","Very Often"
"681354",3,3,3,"Disagree","Disagree","Occasionally"
"370757",3,5,4,"Disagree","Agree","Fairly Often"
"130883",3,3,4,"Disagree","Disagree","Fairly Often"
"268153",4,4,4,"Neutral","Neutral","Fairly Often"
"401789",3,1,1,"Disagree","Completely Disagree","Never"
"369872",1,7,5,"Completely Disagree","Completely Agree","Very Often"
"205329",3,2,3,"Disagree","Strongly Disagree","Occasionally"
"929293",2,4,5,"Strongly Disagree","Neutral","Very Often"
"373363",4,5,4,"Neutral","Agree","Fairly Often"
"810163",3,5,4,"Disagree","Agree","Fairly Often"
"496197",2,6,5,"Strongly Disagree","Strongly Agree","Very Often"
"550283",2,5,5,"Strongly Disagree","Agree","Very Often"
"382423",3,3,4,"Disagree","Disagree","Fairly Often"
"685481",4,5,5,"Neutral","Agree","Very Often"
"865093",2,4,3,"Strongly Disagree","Neutral","Occasionally"
"846905",3,4,2,"Disagree","Neutral","Rarely"
"281061",3,5,5,"Disagree","Agree","Very Often"
"124566",3,7,4,"Disagree","Completely Agree","Fairly Often"
"743138",3,6,5,"Disagree","Strongly Agree","Very Often"
"910195",2,5,4,"Strongly Disagree","Agree","Fairly Often"
"439455",3,3,4,"Disagree","Disagree","Fairly Often"
"792050",6,4,3,"Strongly Agree","Neutral","Occasionally"
"515106",4,1,1,"Neutral","Completely Disagree","Never"
"618068",1,4,3,"Completely Disagree","Neutral","Occasionally"
"459123",4,5,3,"Neutral","Agree","Occasionally"
"503250",3,6,5,"Disagree","Strongly Agree","Very Often"
"970366",4,2,1,"Neutral","Strongly Disagree","Never"
"329272",1,7,5,"Completely Disagree","Completely Agree","Very Often"
"347230",1,4,2,"Completely Disagree","Neutral","Rarely"
"968767",2,7,5,"Strongly Disagree","Completely Agree","Very Often"
"184210",3,4,5,"Disagree","Neutral","Very Often"
"852569",3,5,5,"Disagree","Agree","Very Often"
"769722",3,4,4,"Disagree","Neutral","Fairly Often"
"141761",3,5,5,"Disagree","Agree","Very Often"
"346732",3,5,5,"Disagree","Agree","Very Often"
"222560",1,4,5,"Completely Disagree","Neutral","Very Often"
"972841",3,6,5,"Disagree","Strongly Agree","Very Often"
"135726",3,4,2,"Disagree","Neutral","Rarely"
"976197",3,4,3,"Disagree","Neutral","Occasionally"
"830428",3,5,4,"Disagree","Agree","Fairly Often"
"875796",1,6,4,"Completely Disagree","Strongly Agree","Fairly Often"
"194648",1,6,5,"Completely Disagree","Strongly Agree","Very Often"
"896735",3,5,5,"Disagree","Agree","Very Often"
"524549",3,1,2,"Disagree","Completely Disagree","Rarely"
"483675",4,5,4,"Neutral","Agree","Fairly Often"
"334693",4,2,1,"Neutral","Strongly Disagree","Never"
"174627",4,5,4,"Neutral","Agree","Fairly Often"
"439536",1,7,3,"Completely Disagree","Completely Agree","Occasionally"
"505334",3,4,3,"Disagree","Neutral","Occasionally"
"542395",2,5,2,"Strongly Disagree","Agree","Rarely"
"300246",3,4,5,"Disagree","Neutral","Very Often"
"136195",1,6,4,"Completely Disagree","Strongly Agree","Fairly Often"
"108002",4,6,4,"Neutral","Strongly Agree","Fairly Often"
"201883",1,5,4,"Completely Disagree","Agree","Fairly Often"
"942795",2,5,5,"Strongly Disagree","Agree","Very Often"
"407534",3,5,4,"Disagree","Agree","Fairly Often"
"173667",3,5,4,"Disagree","Agree","Fairly Often"
"924871",1,5,5,"Completely Disagree","Agree","Very Often"
"162748",6,1,1,"Strongly Agree","Completely Disagree","Never"
"515305",4,5,5,"Neutral","Agree","Very Often"
"942782",3,5,5,"Disagree","Agree","Very Often"
"499040",3,5,4,"Disagree","Agree","Fairly Often"
"206415",4,2,1,"Neutral","Strongly Disagree","Never"
"518222",1,6,6,"Completely Disagree","Strongly Agree","All the time"
"969005",3,1,1,"Disagree","Completely Disagree","Never"
"531947",6,4,3,"Strongly Agree","Neutral","Occasionally"
"951064",3,3,4,"Disagree","Disagree","Fairly Often"
"745341",3,5,5,"Disagree","Agree","Very Often"
"240102",5,6,3,"Agree","Strongly Agree","Occasionally"
"940481",6,3,3,"Strongly Agree","Disagree","Occasionally"
"414013",4,1,2,"Neutral","Completely Disagree","Rarely"
"601263",2,6,5,"Strongly Disagree","Strongly Agree","Very Often"
"323048",3,2,1,"Disagree","Strongly Disagree","Never"
"917463",3,5,5,"Disagree","Agree","Very Often"
"461365",2,4,3,"Strongly Disagree","Neutral","Occasionally"
"775917",3,5,5,"Disagree","Agree","Very Often"
"376609",4,4,4,"Neutral","Neutral","Fairly Often"
"390178",3,7,6,"Disagree","Completely Agree","All the time"
"254119",2,5,5,"Strongly Disagree","Agree","Very Often"
"775623",2,7,5,"Strongly Disagree","Completely Agree","Very Often"
"938059",4,5,2,"Neutral","Agree","Rarely"
"203657",3,6,5,"Disagree","Strongly Agree","Very Often"
"497212",4,7,5,"Neutral","Completely Agree","Very Often"
"353658",3,5,5,"Disagree","Agree","Very Often"
"629640",3,5,4,"Disagree","Agree","Fairly Often"
"165451",1,7,3,"Completely Disagree","Completely Agree","Occasionally"
"373949",1,4,4,"Completely Disagree","Neutral","Fairly Often"
"300571",6,3,1,"Strongly Agree","Disagree","Never"
