"employee_id","perceived_ease_use","perceived_useful","behavioral_intention"
818496,5,7,6
926242,4,6,4
233550,6,7,4
108017,6,4,5
909440,3,4,4
350467,2,1,1
266545,7,7,5
891309,7,7,5
468086,3,4,2
245162,4,6,7
981937,1,2,5
226409,3,6,2
680042,4,5,5
184590,4,3,3
238018,5,6,5
244749,3,2,5
477012,3,5,5
400528,4,6,7
105858,7,6,7
605649,5,6,3
170867,6,4,4
578733,1,2,2
951764,5,5,4
615588,5,7,4
857411,3,3,4
291789,3,4,5
337401,5,4,6
665520,5,5,7
834428,4,6,7
854808,4,3,5
176706,1,3,3
836114,6,6,7
793526,7,7,5
974653,3,3,5
660192,3,5,4
633759,5,5,1
609228,4,3,4
841099,3,4,5
461434,6,6,5
673705,4,7,1
962797,1,4,1
635339,4,7,4
488460,2,2,4
309848,5,3,4
413691,1,4,4
173355,6,7,5
515635,4,2,2
215451,3,6,4
540953,2,2,5
856269,1,3,4
473584,1,2,4
105320,1,2,4
503384,4,4,4
