"employee_id","perceived_ease_use","previous_exp","perceived_useful","behavioral_intention"
591688,4,"no",6,2
801560,4,"no",5,5
238127,4,"yes",4,5
695797,7,"yes",7,7
198801,5,"no",6,6
646328,6,"no",7,4
802307,4,"yes",7,6
106638,2,"no",6,1
304973,2,"no",4,4
649317,4,"no",4,5
725740,4,"yes",3,7
250045,3,"no",4,4
487693,2,"no",1,3
519699,3,"yes",5,3
349772,4,"no",4,5
203832,3,"yes",2,3
324161,4,"yes",6,6
589222,6,"no",7,6
904112,3,"no",5,5
635432,5,"no",4,4
492053,4,"yes",5,6
991875,6,"no",7,5
763172,5,"no",6,7
665165,5,"no",7,6
269182,4,"no",7,4
128250,5,"no",7,5
300009,5,"no",6,4
672801,4,"no",3,5
842682,1,"no",2,2
686946,3,"no",6,3
622558,6,"no",5,7
927112,4,"no",4,4
709561,5,"no",6,3
861371,7,"no",5,5
234766,6,"yes",7,6
230418,3,"no",5,6
561293,6,"no",7,5
783690,5,"yes",6,4
755304,4,"yes",7,7
718304,5,"no",6,7
550457,5,"no",7,5
388192,5,"no",4,6
201883,5,"no",5,7
425400,6,"no",3,3
691231,2,"no",2,4
821737,3,"no",6,4
443338,5,"no",7,7
383455,1,"no",4,3
300748,2,"no",5,7
454575,4,"yes",6,7
939903,6,"no",6,7
985134,6,"yes",5,2
110137,5,"yes",3,3
439983,1,"yes",4,2
666842,3,"no",2,5
905625,2,"yes",6,4
549649,7,"no",7,7
389363,6,"no",5,5
916517,6,"no",6,4
539183,3,"yes",5,2
930828,5,"no",6,5
991782,2,"no",2,5
457542,4,"no",7,5
647497,6,"yes",6,7
965823,2,"no",2,4
254605,2,"no",3,2
278248,4,"yes",4,4
751759,4,"no",4,6
438616,5,"no",4,3
213966,5,"no",6,4
622421,6,"no",4,7
164757,5,"no",5,4
508584,6,"no",7,5
186831,4,"no",2,4
158938,5,"yes",5,6
573772,4,"no",6,4
206687,6,"no",6,4
612720,7,"no",7,5
270385,4,"yes",5,5
193121,3,"no",5,4
425066,4,"yes",6,5
311244,2,"yes",2,1
868167,3,"yes",2,5
443390,3,"no",7,5
469931,2,"no",3,4
818496,5,"no",7,6
926242,4,"no",6,4
233550,6,"no",7,4
108017,6,"no",4,5
909440,3,"no",4,4
350467,2,"yes",1,1
266545,7,"no",7,5
891309,7,"no",7,5
468086,3,"no",4,2
245162,4,"yes",6,7
981937,1,"no",2,5
226409,3,"yes",6,2
680042,4,"no",5,5
184590,4,"no",3,3
238018,5,"yes",6,5
244749,3,"no",2,5
477012,3,"no",5,5
400528,4,"yes",6,7
105858,7,"no",6,7
605649,5,"no",6,3
170867,6,"no",4,4
578733,1,"no",2,2
951764,5,"no",5,4
615588,5,"no",7,4
857411,3,"yes",3,4
291789,3,"yes",4,5
337401,5,"no",4,6
665520,5,"no",5,7
834428,4,"yes",6,7
854808,4,"no",3,5
176706,1,"yes",3,3
836114,6,"yes",6,7
793526,7,"no",7,5
974653,3,"no",3,5
660192,3,"no",5,4
633759,5,"no",5,1
609228,4,"yes",3,4
841099,3,"no",4,5
461434,6,"yes",6,5
673705,4,"no",7,1
962797,1,"yes",4,1
635339,4,"no",7,4
488460,2,"no",2,4
309848,5,"no",3,4
413691,1,"no",4,4
173355,6,"no",7,5
515635,4,"yes",2,2
215451,3,"no",6,4
540953,2,"no",2,5
856269,1,"yes",3,4
473584,1,"no",2,4
105320,1,"no",2,4
503384,4,"no",4,4
